tconst	directors	writers
tt0000001	nm0005690	\N
tt0000002	nm0721526	\N
tt0000003	nm0721526	\N
tt0000004	nm0721526	\N
tt0000005	nm0005690	\N
tt0000006	nm0005690	\N
tt0000007	nm0005690,nm0374658	\N
tt0000008	nm0005690	\N
tt0000009	nm0085156	nm0085156
tt0000010	nm0525910	\N
tt0000011	nm0804434	\N
tt0000012	nm0525908,nm0525910	\N
tt0000013	nm0525910	\N
tt0000014	nm0525910	\N
tt0000015	nm0721526	\N
tt0000016	nm0525910	\N
tt0000017	nm1587194,nm0804434	\N
tt0000018	nm0804434	\N
tt0000019	nm0932055	\N
tt0000020	nm0010291	\N
tt0000022	nm0525910	\N
tt0000023	nm0525910	\N
tt0000024	nm0010291	\N
tt0000025	nm0010291	\N
tt0000026	nm0525910	\N
tt0000027	nm0525910	\N
tt0000028	nm0525910	\N
tt0000029	nm0525910	\N
tt0000030	nm0666972,nm0010291	\N
tt0000031	nm0525910	\N
tt0000032	nm0804434	\N
tt0000033	nm0525910	\N
tt0000034	nm0617588	\N
tt0000035	nm0617588	\N
tt0000036	nm0005690	nm0410331
tt0000037	nm0617588	\N
tt0000038	nm0374658	\N
tt0000039	\N	\N
tt0000040	nm0617588	\N
tt0000041	nm0525910	\N
tt0000042	nm0617588	\N
tt0000043	nm0617588	\N
tt0000044	nm0617588	\N
tt0000045	nm0617588	\N
tt0000046	nm0617588	\N
tt0000047	nm0617588	\N
tt0000048	nm0010291	\N
tt0000049	nm0010291	\N
tt0000050	nm0617588	\N
tt0000051	nm0617588	\N
tt0000052	nm0895515	\N
tt0000053	nm0684607	\N
tt0000054	nm0617588	\N
tt0000055	nm0617588	\N
tt0000056	nm0795060	\N
tt0000057	nm0617588	\N
tt0000058	nm0617588	\N
tt0000059	nm0617588	\N
tt0000060	nm0005690	\N
tt0000061	nm0010291	\N
tt0000062	nm0617588	\N
tt0000063	nm0617588	\N
tt0000064	nm0617588	\N
tt0000065	nm0617588	\N
tt0000066	nm0617588	\N
tt0000067	nm0617588	\N
tt0000068	nm0617588	\N
tt0000069	nm0617588	\N
tt0000070	nm0525910	\N
tt0000071	nm0617588	\N
tt0000072	nm0617588	\N
tt0000073	nm0617588	\N
tt0000074	nm0617588	\N
tt0000075	nm0617588	\N
tt0000076	nm0005690	nm0410331
tt0000077	nm0617588	\N
tt0000078	nm0234288	\N
tt0000079	nm0617588	\N
tt0000080	nm0617588	\N
tt0000081	nm0617588	\N
tt0000082	nm0005690	\N
tt0000083	nm0617588	\N
tt0000084	nm0617588	\N
tt0000085	nm0617588	\N
tt0000086	nm0617588	\N
tt0000087	nm0617588	\N
tt0000088	nm0617588	\N
tt0000089	nm0698645,nm0525908	\N
tt0000090	nm0617588	\N
tt0000091	nm0617588	nm0617588
tt0000092	nm0617588	\N
tt0000093	nm0525908,nm0525910	\N
tt0000094	nm0617588	\N
tt0000095	nm0617588	\N
tt0000096	nm0617588	\N
tt0000097	nm0617588	\N
tt0000098	nm0617588	\N
tt0000099	nm0617588	\N
tt0000100	nm0617588	\N
tt0000101	nm0617588	\N
tt0000102	nm0617588	\N
tt0000103	nm0617588	\N
tt0000104	\N	\N
tt0000105	nm0617588	\N
tt0000106	nm0617588	\N
tt0000107	nm0617588	\N
tt0000108	nm0005690	nm0410331
tt0000109	nm0005690	nm0410331
tt0000110	nm0005690	nm0410331
tt0000111	nm0005690	nm0410331
tt0000112	nm0005690	nm0410331
tt0000113	nm0005690	nm0410331
tt0000114	nm0617588	\N
tt0000115	nm0617588	\N
tt0000116	nm0617588	\N
tt0000117	nm0234288	\N
tt0000118	nm0617588	\N
tt0000119	nm0617588	\N
tt0000120	nm0617588	\N
tt0000121	nm0609678	\N
tt0000122	nm0617588	\N
tt0000123	nm0617588	\N
tt0000124	nm0617588	\N
tt0000125	\N	\N
tt0000126	nm0617588	\N
tt0000127	nm0617588	\N
tt0000128	nm0617588	\N
tt0000129	nm0617588	\N
tt0000130	nm0617588	\N
tt0000131	nm0617588	\N
tt0000132	nm0617588	nm0617588
tt0000133	nm0617588	\N
tt0000134	\N	\N
tt0000135	nm0005690	\N
tt0000136	nm0349785	\N
tt0000137	nm0349785	\N
tt0000138	nm0617588	nm0617588
tt0000139	nm0349785	\N
tt0000140	nm0349785	\N
tt0000141	nm0349785	\N
tt0000142	nm0924920	\N
tt0000143	nm0349785	\N
tt0000144	nm0349785	\N
tt0000145	nm0349785	\N
tt0000146	nm0349785	\N
tt0000147	nm0714557	\N
tt0000148	nm0349785	\N
tt0000149	nm0617588	\N
tt0000150	nm0349785	\N
tt0000151	nm0617588	\N
tt0000152	nm0617588	\N
tt0000153	nm0808310	\N
tt0000154	nm0010291	\N
tt0000155	nm0617588	\N
tt0000156	nm0617588	\N
tt0000157	nm0349785	\N
tt0000158	nm0349785	\N
tt0000159	nm0617588	\N
tt0000160	nm0095816	\N
tt0000161	nm0349785	\N
tt0000162	\N	\N
tt0000163	nm0349785	\N
tt0000164	nm0349785	\N
tt0000165	nm0005717	nm0005717
tt0000166	nm0005717	\N
tt0000167	nm0422809	\N
tt0000168	nm0005717	\N
tt0000169	nm0698645	\N
tt0000170	nm0666972	\N
tt0000171	nm0349785	\N
tt0000172	nm0808310	\N
tt0000173	nm0085865	\N
tt0000174	nm0471818	nm0841389
